Word,Document IDs
nba,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
game,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16"
home,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
league,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
stats,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
player,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
store,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
2024,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
10,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
play,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
tickets,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
players,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
draft,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
fantasy,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
years,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
