Word,Document IDs
nba,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
player,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
game,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16"
stat,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
home,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
leagu,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
store,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
point,"1, 2, 3, 4, 5, 6, 7, 8, 9"
year,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 18"
draft,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
ticket,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
fantasi,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
play,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
jan,"1, 2, 4, 5, 6, 7, 8, 9, 10"
team,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
