Team,Game 1 Free Throw %,Game 2 Free Throw %,Game 3 Free Throw %,Average Free Throw %
Chicago Bulls,86.7,94.4,78.6,86.57
New Orleans Pelicans,90.0,81.8,86.4,86.07
Los Angeles Lakers,82.1,80.0,92.9,85.00
Sacramento Kings,76.9,90.9,82.6,83.47
Utah Jazz,88.9,81.3,80.0,83.40
Denver Nuggets,78.3,68.8,100.0,82.37
Oklahoma City Thunder,84.6,81.0,80.0,81.87
Washington Wizards,78.6,77.8,83.3,79.90
Phoenix Suns,68.4,95.2,76.0,79.87
Indiana Pacers,91.3,90.5,56.3,79.37
Houston Rockets,57.9,100.0,78.3,78.73
Memphis Grizzlies,77.1,75.0,83.3,78.47
Miami Heat,77.8,70.0,85.7,77.83
Cleveland Cavaliers,75.0,75.0,82.4,77.47
New York Knicks,81.8,78.6,70.6,77.00
Minnesota Timberwolves,58.8,80.8,90.9,76.83
Detroit Pistons,86.4,80.0,61.5,75.97
Philadelphia 76ers,61.5,80.0,82.4,74.63
Toronto Raptors,61.9,84.6,76.9,74.47
Atlanta Hawks,76.5,77.8,66.7,73.67
Boston Celtics,87.5,66.7,66.7,73.63
Portland Trail Blazers,60.0,76.9,81.0,72.63
Brooklyn Nets,63.6,63.2,89.3,72.03
Orlando Magic,77.8,61.5,76.5,71.93
Los Angeles Clippers,80.0,70.6,64.7,71.77
San Antonio Spurs,58.3,88.9,61.5,69.57
Golden State Warriors,72.2,62.5,73.3,69.33
Charlotte Hornets,73.7,63.3,70.0,69.00
Dallas Mavericks,73.3,80.0,50.0,67.77

Top 5 Teams by Average Free Throw Percentage
Rank,Team,Game 1 Free Throw %,Game 2 Free Throw %,Game 3 Free Throw %,Average Free Throw %
1,Chicago Bulls,86.7,94.4,78.6,86.57
2,New Orleans Pelicans,90.0,81.8,86.4,86.07
3,Los Angeles Lakers,82.1,80.0,92.9,85.00
4,Sacramento Kings,76.9,90.9,82.6,83.47
5,Utah Jazz,88.9,81.3,80.0,83.40
